2018-07-26 21:20:59,752 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 498; Parsing inputs
2018-07-26 21:21:00,674 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; INFO ; 889; hole added to list - (-36.60126026363985,3.6576,-37.36565640302673)
2018-07-26 21:21:00,774 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 810; Processing edge - 256
2018-07-26 21:21:00,786 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 832; extentToEntity - True
2018-07-26 21:21:00,797 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py.dbutils ; DEBUG ; 98; edge 243 added to adjacent edge list
2018-07-26 21:21:00,808 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py.dbutils ; DEBUG ; 98; edge 244 added to adjacent edge list
2018-07-26 21:21:00,821 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 855; centrePoint = (25.304184180804512,3.6576,-37.36565640302673)
2018-07-26 21:21:00,831 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 885; extentToEntity before setPositionByPlaneAndOffsets - True
2018-07-26 21:21:00,840 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 887; extentToEntity after setPositionByPlaneAndOffsets - True
2018-07-26 21:21:00,850 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; INFO ; 889; hole added to list - (25.304184180804512,3.6576,-37.36565640302673)
2018-07-26 21:21:01,135 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 810; Processing edge - 257
2018-07-26 21:21:01,153 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 832; extentToEntity - True
2018-07-26 21:21:01,165 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py.dbutils ; DEBUG ; 98; edge 242 added to adjacent edge list
2018-07-26 21:21:01,176 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py.dbutils ; DEBUG ; 98; edge 243 added to adjacent edge list
2018-07-26 21:21:01,188 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 855; centrePoint = (36.60126026363985,3.6576,-37.36565640302673)
2018-07-26 21:21:01,197 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 885; extentToEntity before setPositionByPlaneAndOffsets - True
2018-07-26 21:21:01,206 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 887; extentToEntity after setPositionByPlaneAndOffsets - True
2018-07-26 21:21:01,216 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; INFO ; 889; hole added to list - (36.60126026363985,3.6576,-37.36565640302673)
2018-07-26 21:21:01,316 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 810; Processing edge - 292
2018-07-26 21:21:01,326 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 813; Revalidating face
2018-07-26 21:21:01,344 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 832; extentToEntity - True
2018-07-26 21:21:01,357 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py.dbutils ; DEBUG ; 98; edge 246 added to adjacent edge list
2018-07-26 21:21:01,367 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py.dbutils ; DEBUG ; 98; edge 247 added to adjacent edge list
2018-07-26 21:21:01,379 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 855; centrePoint = (5.648538041417735,3.6576,-37.36565640302673)
2018-07-26 21:21:01,388 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 885; extentToEntity before setPositionByPlaneAndOffsets - True
2018-07-26 21:21:01,398 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 887; extentToEntity after setPositionByPlaneAndOffsets - True
2018-07-26 21:21:01,407 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; INFO ; 889; hole added to list - (5.648538041417735,3.6576,-37.36565640302673)
2018-07-26 21:21:01,690 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 796; Processing Face = 53
2018-07-26 21:21:01,699 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 810; Processing edge - 189
2018-07-26 21:21:01,709 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 832; extentToEntity - True
2018-07-26 21:21:01,718 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py.dbutils ; DEBUG ; 98; edge 188 added to adjacent edge list
2018-07-26 21:21:01,728 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py.dbutils ; DEBUG ; 98; edge 192 added to adjacent edge list
2018-07-26 21:21:01,738 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 855; centrePoint = (-34.52212640302673,3.49885,-9.000206403026729)
2018-07-26 21:21:01,748 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 885; extentToEntity before setPositionByPlaneAndOffsets - True
2018-07-26 21:21:01,757 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 887; extentToEntity after setPositionByPlaneAndOffsets - True
2018-07-26 21:21:01,766 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; INFO ; 889; hole added to list - (-34.52212640302673,3.49885,-9.000206403026729)
2018-07-26 21:21:01,872 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 810; Processing edge - 207
2018-07-26 21:21:01,881 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 813; Revalidating face
2018-07-26 21:21:01,894 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 832; extentToEntity - True
2018-07-26 21:21:01,905 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py.dbutils ; DEBUG ; 98; edge 193 added to adjacent edge list
2018-07-26 21:21:01,914 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py.dbutils ; DEBUG ; 98; edge 194 added to adjacent edge list
2018-07-26 21:21:01,925 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 855; centrePoint = (-13.631193596973272,3.49885,-8.627393596973272)
2018-07-26 21:21:01,934 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 885; extentToEntity before setPositionByPlaneAndOffsets - True
2018-07-26 21:21:01,944 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 887; extentToEntity after setPositionByPlaneAndOffsets - True
2018-07-26 21:21:01,953 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; INFO ; 889; hole added to list - (-13.631193596973272,3.49885,-8.627393596973272)
2018-07-26 21:21:02,229 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 810; Processing edge - 209
2018-07-26 21:21:02,238 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 813; Revalidating face
2018-07-26 21:21:02,249 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 832; extentToEntity - True
2018-07-26 21:21:02,259 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py.dbutils ; DEBUG ; 98; edge 194 added to adjacent edge list
2018-07-26 21:21:02,269 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py.dbutils ; DEBUG ; 98; edge 195 added to adjacent edge list
2018-07-26 21:21:02,279 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 855; centrePoint = (-12.175206403026705,3.49885,-8.627393596973272)
2018-07-26 21:21:02,289 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 885; extentToEntity before setPositionByPlaneAndOffsets - True
2018-07-26 21:21:02,298 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 887; extentToEntity after setPositionByPlaneAndOffsets - True
2018-07-26 21:21:02,308 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; INFO ; 889; hole added to list - (-12.175206403026705,3.49885,-8.627393596973272)
2018-07-26 21:21:02,408 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 810; Processing edge - 169
2018-07-26 21:21:02,419 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 832; extentToEntity - True
2018-07-26 21:21:02,430 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py.dbutils ; DEBUG ; 98; edge 170 added to adjacent edge list
2018-07-26 21:21:02,440 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py.dbutils ; DEBUG ; 98; edge 20228 added to adjacent edge list
2018-07-26 21:21:02,449 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 855; centrePoint = (-34.52212640302673,3.49885,-10.456193596973272)
2018-07-26 21:21:02,458 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 885; extentToEntity before setPositionByPlaneAndOffsets - True
2018-07-26 21:21:02,468 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 887; extentToEntity after setPositionByPlaneAndOffsets - True
2018-07-26 21:21:02,477 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; INFO ; 889; hole added to list - (-34.52212640302673,3.49885,-10.456193596973272)
2018-07-26 21:21:02,753 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 810; Processing edge - 171
2018-07-26 21:21:02,765 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py ; DEBUG ; 832; extentToEntity - True
2018-07-26 21:21:02,776 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py.dbutils ; DEBUG ; 98; edge 170 added to adjacent edge list
2018-07-26 21:21:02,787 ; __main__C%3A%2FUsers%2FDad%2FAppData%2FRoaming%2FAutodesk%2FAutodesk%20Fusion%20360%2FAPI%2FAddIns%2Fdogbone2%2FdogBone2_py.dbutils ; DEBUG ; 98; edge 196 added to adjacent edge list
